Dist #,District,Schl #,School Name,White,Black or African-American,Hispanic/Latino,Asian,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Two or More Races
06,BROWARD,0452,WHIDDON RODGERS EDUCATION CENTER,25,58,5,2,0,0,5
06,BROWARD,0461,OAKRIDGE ELEMENTARY SCHOOL,18,3,8,0,0,0,0
06,BROWARD,0471,OLSEN MIDDLE SCHOOL,15,25,5,0,0,0,0
06,BROWARD,0481,MCNICOL MIDDLE SCHOOL,12,32,9,2,0,0,1
06,BROWARD,0491,HARBORDALE ELEMENTARY SCHOOL,22,2,6,0,0,0,0
06,BROWARD,0501,BROWARD ESTATES ELEMENTARY SCHOOL,3,23,2,0,0,0,0
06,BROWARD,0511,WATKINS ELEMENTARY SCHOOL,6,27,11,0,0,0,1
06,BROWARD,0521,NORTH ANDREWS GARDENS ELEMENTARY SCHOOL,42,7,12,0,0,0,1
06,BROWARD,0531,MIRAMAR ELEMENTARY SCHOOL,17,15,13,0,0,0,1
06,BROWARD,0551,PLANTATION MIDDLE SCHOOL,13,23,5,0,0,0,1
06,BROWARD,0561,NORCREST ELEMENTARY SCHOOL,37,12,5,0,0,0,0
06,BROWARD,0571,TEDDER ELEMENTARY SCHOOL,18,22,6,0,0,0,1
06,BROWARD,0581,MARGATE MIDDLE SCHOOL,21,42,6,1,0,0,3
06,BROWARD,0592,HENRY D PERRY EDUCATIONAL CENTER,6,17,6,3,0,1,0
06,BROWARD,0601,SEAGULL SCHOOL,7,9,2,1,0,0,0
06,BROWARD,0611,SUNLAND PARK ACADEMY,3,23,4,0,0,0,1
06,BROWARD,0621,LARKDALE ELEMENTARY SCHOOL,2,22,1,0,0,0,0
06,BROWARD,0631,WESTWOOD HEIGHTS ELEMENTARY SCHOOL,13,20,2,0,0,0,1
06,BROWARD,0641,BAYVIEW ELEMENTARY SCHOOL,31,2,3,0,0,0,0
06,BROWARD,0653,PINE RIDGE ALTERNATIVE CENTER,4,14,0,0,0,0,0
06,BROWARD,0691,STIRLING ELEMENTARY SCHOOL,22,3,13,0,0,0,0
06,BROWARD,0701,PARKWAY MIDDLE SCHOOL,21,51,9,2,0,0,2
06,BROWARD,0711,ORANGE BROOK ELEMENTARY SCHOOL,18,16,4,0,0,1,1
06,BROWARD,0721,DRIFTWOOD ELEMENTARY SCHOOL,22,4,8,2,0,0,0
06,BROWARD,0731,TROPICAL ELEMENTARY SCHOOL,48,2,8,0,1,0,2
